region_id,region_name,year,population,birth_rate,death_rate,natural_increase_rate,migration_balance,gdp_per_capita,unemployment_rate,average_wage
0,Moscow,2010,5122162,10.28,13.2,-2.92,6543,1945837,12.91,45172
0,Moscow,2011,5207744,9.4,14.03,-4.63,37395,724212,10.15,38251
0,Moscow,2012,5107938,10.76,16.54,-5.79,49431,283610,10.09,41199
0,Moscow,2013,5126499,8.62,12.35,-3.72,56317,992274,4.03,72041
0,Moscow,2014,5440426,9.92,13.71,-3.8,77718,1595239,14.24,110008
0,Moscow,2015,5450342,11.88,11.79,0.09,67155,842155,6.01,76556
0,Moscow,2016,5542348,8.79,17.43,-8.64,5414,1667830,11.34,94255
0,Moscow,2017,5653786,13.41,11.37,2.04,69732,1321936,6.64,31038
0,Moscow,2018,5540027,12.64,15.41,-2.77,13969,1483840,12.01,78321
0,Moscow,2019,5861791,15.2,13.35,1.85,6906,394204,2.89,85458
0,Moscow,2020,5839384,13.41,13.78,-0.37,22159,338563,6.12,40316
0,Moscow,2021,5850814,14.79,17.91,-3.12,65275,535826,13.66,76237
0,Moscow,2022,5912498,9.82,14.2,-4.38,5521,1119345,7.72,46100
0,Moscow,2023,6114268,9.51,13.15,-3.64,43909,1465434,7.05,117319
0,Moscow,2024,5932792,10.34,11.3,-0.96,8860,701563,13.85,47758
1,Moscow Oblast,2010,849888,15.29,15.53,-0.24,22822,623340,7.1,45292
1,Moscow Oblast,2011,825926,10.18,16.15,-5.97,8058,534080,10.97,20663
1,Moscow Oblast,2012,813436,12.15,11.36,0.79,56820,401377,14.21,25500
1,Moscow Oblast,2013,816226,14.35,17.71,-3.36,66291,510880,9.12,29674
1,Moscow Oblast,2014,815153,8.39,14.28,-5.89,59446,733121,13.59,51195
1,Moscow Oblast,2015,830834,9.67,17.5,-7.83,5379,254525,9.36,47675
1,Moscow Oblast,2016,836775,13.1,11.99,1.11,29404,635219,10.62,53968
1,Moscow Oblast,2017,869636,10.06,12.95,-2.89,77975,405513,13.65,45245
1,Moscow Oblast,2018,848218,15.03,14.51,0.52,19643,619593,6.01,20972
1,Moscow Oblast,2019,850445,14.85,17.52,-2.67,6159,753407,7.85,58666
1,Moscow Oblast,2020,888390,14.54,14.24,0.3,68835,355999,4.62,42272
1,Moscow Oblast,2021,885818,12.4,11.72,0.68,70802,631499,11.21,48099
1,Moscow Oblast,2022,869354,11.29,16.25,-4.96,70030,743606,8.89,40060
1,Moscow Oblast,2023,906916,13.63,16.35,-2.72,33168,211088,9.73,21437
1,Moscow Oblast,2024,917437,10.63,15.39,-4.75,7287,174276,12.78,34407
2,St. Petersburg,2010,712258,12.89,11.63,1.26,45547,564329,11.58,59034
2,St. Petersburg,2011,719107,12.38,12.46,-0.08,37922,200996,2.82,58505
2,St. Petersburg,2012,742077,11.59,11.88,-0.29,46191,614487,10.75,31197
2,St. Petersburg,2013,731084,14.9,16.44,-1.54,36470,311025,6.95,50313
2,St. Petersburg,2014,753550,11.97,9.42,2.55,17990,432003,7.48,44634
2,St. Petersburg,2015,737698,12.56,15.06,-2.49,42735,706718,10.73,26517
2,St. Petersburg,2016,762411,8.37,15.18,-6.81,34112,568137,8.23,41824
2,St. Petersburg,2017,775839,14.84,17.26,-2.42,19684,195084,3.76,20728
2,St. Petersburg,2018,776402,8.65,12.82,-4.17,13862,602879,10.36,55098
2,St. Petersburg,2019,791708,12.96,12.86,0.11,61296,674442,14.88,36504
2,St. Petersburg,2020,805009,10.42,17.36,-6.94,61315,640452,3.79,56102
2,St. Petersburg,2021,808868,11.52,17.93,-6.41,34190,157044,13.82,23651
2,St. Petersburg,2022,803227,14.61,14.44,0.17,26990,363631,10.91,50094
2,St. Petersburg,2023,838360,13.3,14.84,-1.54,38114,727007,6.89,24682
2,St. Petersburg,2024,818075,12.24,11.88,0.36,10457,684209,11.33,23253
3,Leningrad Oblast,2010,510476,11.51,17.3,-5.79,4720,639695,7.2,23340
3,Leningrad Oblast,2011,521332,12.0,17.33,-5.34,-14772,454629,3.2,24752
3,Leningrad Oblast,2012,510091,9.9,15.62,-5.72,4243,393665,6.07,54743
3,Leningrad Oblast,2013,525301,8.99,14.89,-5.91,-2412,602236,8.18,45102
3,Leningrad Oblast,2014,530630,12.24,16.02,-3.78,-9452,272278,8.3,34134
3,Leningrad Oblast,2015,519834,14.91,18.14,-3.23,-8809,678966,11.06,26504
3,Leningrad Oblast,2016,550211,14.79,14.96,-0.17,3654,712941,3.07,21054
3,Leningrad Oblast,2017,545354,14.68,10.85,3.83,4398,697377,12.98,38747
3,Leningrad Oblast,2018,549766,11.14,17.01,-5.87,1258,799816,14.96,42217
3,Leningrad Oblast,2019,532929,11.74,11.99,-0.25,-10427,586605,10.23,34326
3,Leningrad Oblast,2020,545837,9.36,17.84,-8.48,-4596,703917,9.4,42437
3,Leningrad Oblast,2021,540097,9.86,11.65,-1.8,-918,288426,4.2,20581
3,Leningrad Oblast,2022,560259,9.91,15.07,-5.16,3083,376366,8.92,51346
3,Leningrad Oblast,2023,565722,13.42,16.45,-3.04,-5817,787021,8.66,33150
3,Leningrad Oblast,2024,549822,12.56,11.85,0.71,-12439,248736,4.24,45634
4,Krasnodar Krai,2010,989969,13.32,11.84,1.48,18275,207656,4.01,38431
4,Krasnodar Krai,2011,981190,9.87,14.23,-4.36,7948,669616,10.35,23270
4,Krasnodar Krai,2012,1000569,13.63,15.87,-2.24,32785,464939,10.23,34756
4,Krasnodar Krai,2013,997061,11.93,16.57,-4.64,43375,495873,3.84,37896
4,Krasnodar Krai,2014,981971,10.35,13.19,-2.84,13982,728842,9.92,47164
4,Krasnodar Krai,2015,998418,13.19,14.76,-1.56,49013,634535,7.9,25103
4,Krasnodar Krai,2016,1008475,12.01,14.02,-2.01,12633,249358,5.57,26427
4,Krasnodar Krai,2017,1044070,9.3,16.9,-7.6,11017,490932,7.63,59295
4,Krasnodar Krai,2018,1033511,14.35,16.65,-2.31,17816,584618,14.12,42270
4,Krasnodar Krai,2019,1060318,12.68,11.78,0.91,29275,426533,8.85,29696
4,Krasnodar Krai,2020,1056095,9.92,15.02,-5.1,44944,183685,6.71,25376
4,Krasnodar Krai,2021,1031177,8.61,16.3,-7.69,62017,537165,8.39,36473
4,Krasnodar Krai,2022,1075211,13.8,18.01,-4.22,75375,267801,3.33,49644
4,Krasnodar Krai,2023,1056235,12.17,16.65,-4.47,20122,256376,4.55,52582
4,Krasnodar Krai,2024,1081625,11.87,17.98,-6.11,37935,395013,8.28,32055
5,Tatarstan,2010,3732571,9.89,15.38,-5.49,3129,555754,3.96,57593
5,Tatarstan,2011,3624857,9.98,17.0,-7.02,2877,662588,4.4,32468
5,Tatarstan,2012,3875930,10.87,17.42,-6.55,-8158,683817,3.88,53858
5,Tatarstan,2013,3660139,13.19,12.58,0.61,-599,566745,11.17,41708
5,Tatarstan,2014,3585285,9.61,17.0,-7.39,-3332,410553,8.28,57891
5,Tatarstan,2015,3645806,11.23,15.36,-4.13,-1066,749624,11.34,26101
5,Tatarstan,2016,3650795,11.58,17.48,-5.9,3687,751619,8.14,24529
5,Tatarstan,2017,3575797,12.89,13.68,-0.79,1057,153010,6.67,35926
5,Tatarstan,2018,3515002,11.88,13.87,-1.99,-249,443941,5.31,38097
5,Tatarstan,2019,3501627,11.6,13.77,-2.17,-3388,560971,2.66,46541
5,Tatarstan,2020,3541403,9.26,17.86,-8.61,-4956,537000,3.34,49998
5,Tatarstan,2021,3480545,9.76,12.31,-2.55,-3703,192710,12.19,38131
5,Tatarstan,2022,3403647,10.87,14.05,-3.18,-11895,268253,13.27,57844
5,Tatarstan,2023,3319326,12.3,14.52,-2.22,-14458,294281,5.39,46875
5,Tatarstan,2024,3476302,8.68,12.16,-3.48,-1945,304818,3.74,29726
6,Bashkortostan,2010,3612836,13.42,12.85,0.57,-14739,205580,5.1,21061
6,Bashkortostan,2011,3621614,8.84,18.48,-9.64,1348,372181,5.74,35187
6,Bashkortostan,2012,3535638,12.86,12.41,0.45,-9110,766494,12.05,25604
6,Bashkortostan,2013,3778318,14.63,16.58,-1.95,-6495,164605,5.86,41665
6,Bashkortostan,2014,3560747,9.78,16.86,-7.08,-11566,326999,2.73,56571
6,Bashkortostan,2015,3689988,8.45,15.27,-6.81,-1971,689332,5.08,20439
6,Bashkortostan,2016,3688407,12.89,14.37,-1.47,-4621,180527,4.58,49521
6,Bashkortostan,2017,3580684,8.32,14.13,-5.81,-9226,381187,11.49,31884
6,Bashkortostan,2018,3609970,14.13,16.96,-2.83,-14376,320471,9.94,22057
6,Bashkortostan,2019,3736579,10.88,17.09,-6.21,-12868,198839,11.6,39819
6,Bashkortostan,2020,3643826,11.01,17.18,-6.17,-9557,533649,7.01,23663
6,Bashkortostan,2021,3767112,13.8,14.63,-0.83,2458,625946,12.58,46351
6,Bashkortostan,2022,3762098,10.35,14.73,-4.37,-11388,519164,13.94,21357
6,Bashkortostan,2023,3720925,13.26,17.65,-4.39,3885,458239,13.28,53781
6,Bashkortostan,2024,3780327,8.48,14.87,-6.39,-13460,602587,6.75,48990
7,Sverdlovsk Oblast,2010,417647,11.68,16.11,-4.43,2719,550311,5.41,20976
7,Sverdlovsk Oblast,2011,415836,15.14,16.23,-1.09,-5402,557878,13.42,59363
7,Sverdlovsk Oblast,2012,421683,12.65,14.93,-2.28,-10224,221808,6.93,31489
7,Sverdlovsk Oblast,2013,397016,8.39,11.1,-2.71,-7313,591770,5.23,57998
7,Sverdlovsk Oblast,2014,402118,13.53,16.58,-3.05,3894,453810,10.17,26681
7,Sverdlovsk Oblast,2015,396709,12.7,14.14,-1.45,-10590,271184,12.24,34005
7,Sverdlovsk Oblast,2016,386454,8.69,15.49,-6.8,-1079,250032,12.7,28977
7,Sverdlovsk Oblast,2017,387435,11.6,14.63,-3.04,2774,771173,13.28,52380
7,Sverdlovsk Oblast,2018,378237,12.33,13.93,-1.6,-7546,318839,11.54,39835
7,Sverdlovsk Oblast,2019,372675,14.14,16.23,-2.09,1493,376075,10.98,42629
7,Sverdlovsk Oblast,2020,368060,10.36,15.82,-5.47,2011,713741,11.35,53480
7,Sverdlovsk Oblast,2021,375342,13.11,16.15,-3.05,-8297,633280,4.51,52718
7,Sverdlovsk Oblast,2022,364114,13.8,13.01,0.78,-2661,787771,10.4,30392
7,Sverdlovsk Oblast,2023,363280,14.65,11.92,2.73,4259,372216,10.41,57281
7,Sverdlovsk Oblast,2024,365482,9.25,11.76,-2.51,-8980,610311,3.34,43286
8,Rostov Oblast,2010,1774763,13.62,12.27,1.35,-1334,439836,5.92,59884
8,Rostov Oblast,2011,1784441,10.66,16.44,-5.78,-1126,293500,3.53,47219
8,Rostov Oblast,2012,1733243,15.12,12.51,2.6,-6605,565041,7.47,30968
8,Rostov Oblast,2013,1767315,15.34,12.47,2.88,-10737,170237,10.65,34741
8,Rostov Oblast,2014,1760003,15.35,12.54,2.81,418,699109,12.01,45048
8,Rostov Oblast,2015,1771039,9.98,14.71,-4.74,-12653,231370,11.07,37212
8,Rostov Oblast,2016,1745746,8.2,15.66,-7.46,-8792,445893,2.65,22897
8,Rostov Oblast,2017,1716624,12.29,12.69,-0.41,-1100,709079,12.25,21584
8,Rostov Oblast,2018,1698053,10.05,17.9,-7.85,-2636,606602,9.5,20390
8,Rostov Oblast,2019,1683852,10.18,13.48,-3.3,-14335,201076,7.46,25308
8,Rostov Oblast,2020,1777769,14.02,13.38,0.64,-14368,758537,3.15,41651
8,Rostov Oblast,2021,1739979,13.31,17.09,-3.78,-8210,679636,3.5,55792
8,Rostov Oblast,2022,1745549,11.54,16.72,-5.18,-13367,189228,5.59,26381
8,Rostov Oblast,2023,1699826,13.65,16.16,-2.51,-1825,473827,9.44,48768
8,Rostov Oblast,2024,1686825,9.86,15.58,-5.72,2365,622659,11.78,37019
9,Nizhny Novgorod Oblast,2010,1735176,14.14,17.48,-3.34,-5266,717725,13.76,36868
9,Nizhny Novgorod Oblast,2011,1798999,13.64,13.51,0.13,-337,235518,11.45,56361
9,Nizhny Novgorod Oblast,2012,1805277,9.83,14.24,-4.41,-10055,715987,8.07,40592
9,Nizhny Novgorod Oblast,2013,1777876,8.69,12.83,-4.14,469,235067,14.62,38151
9,Nizhny Novgorod Oblast,2014,1759225,8.99,16.98,-7.99,-6382,311664,10.21,48271
9,Nizhny Novgorod Oblast,2015,1689011,8.56,15.93,-7.37,1883,673685,9.82,54730
9,Nizhny Novgorod Oblast,2016,1752519,9.67,11.01,-1.34,-4376,758793,2.99,24884
9,Nizhny Novgorod Oblast,2017,1688977,10.51,15.19,-4.68,-5905,485137,8.61,46674
9,Nizhny Novgorod Oblast,2018,1658146,8.94,16.17,-7.23,4398,211035,10.91,37750
9,Nizhny Novgorod Oblast,2019,1622863,13.11,16.97,-3.86,-5056,551600,13.36,42824
9,Nizhny Novgorod Oblast,2020,1623369,8.8,16.05,-7.25,-10686,578275,7.42,46049
9,Nizhny Novgorod Oblast,2021,1603972,14.62,11.29,3.33,2415,658550,9.59,49537
9,Nizhny Novgorod Oblast,2022,1587595,13.37,15.02,-1.65,1156,645485,12.47,37423
9,Nizhny Novgorod Oblast,2023,1555628,12.1,10.27,1.83,-7076,602053,7.36,37947
9,Nizhny Novgorod Oblast,2024,1499121,9.4,11.09,-1.69,-2931,584338,10.24,38539
10,Samara Oblast,2010,1862926,9.81,12.42,-2.6,-3396,496841,10.1,50595
10,Samara Oblast,2011,1899422,13.66,17.76,-4.11,-13794,757383,6.9,24056
10,Samara Oblast,2012,1900558,10.3,13.28,-2.97,-8773,546716,11.45,30904
10,Samara Oblast,2013,2025132,11.12,15.66,-4.54,-11371,491356,11.36,24275
10,Samara Oblast,2014,1910527,14.98,14.54,0.44,-14131,561548,14.39,44064
10,Samara Oblast,2015,2030448,13.68,12.77,0.92,-2780,417168,13.0,56000
10,Samara Oblast,2016,1930404,13.23,12.72,0.51,-1649,212097,10.3,38070
10,Samara Oblast,2017,2032267,12.58,16.53,-3.95,-10665,212214,2.8,45678
10,Samara Oblast,2018,2024211,11.11,13.67,-2.56,4755,238685,11.19,36172
10,Samara Oblast,2019,2091696,11.77,18.71,-6.94,-12432,217671,11.55,43135
10,Samara Oblast,2020,1977114,8.95,16.85,-7.9,-10466,380747,3.37,40762
10,Samara Oblast,2021,1954878,8.63,15.27,-6.64,2601,573070,9.16,32973
10,Samara Oblast,2022,2047605,14.36,16.8,-2.45,-5695,189092,9.53,58305
10,Samara Oblast,2023,2018474,9.14,15.19,-6.05,-13066,442741,11.95,33902
10,Samara Oblast,2024,2048627,14.83,11.88,2.95,4849,752550,9.25,53681
11,Chelyabinsk Oblast,2010,2635907,8.82,17.04,-8.22,640,610684,2.95,32125
11,Chelyabinsk Oblast,2011,2599478,8.4,16.27,-7.87,-7060,440681,10.01,40627
11,Chelyabinsk Oblast,2012,2656060,14.6,16.96,-2.36,-10829,754886,3.95,52697
11,Chelyabinsk Oblast,2013,2665868,14.0,16.17,-2.18,-13381,411937,4.67,47798
11,Chelyabinsk Oblast,2014,2657914,10.77,16.88,-6.1,-12349,710309,14.03,39482
11,Chelyabinsk Oblast,2015,2666854,9.92,13.77,-3.86,-7649,194312,2.82,25406
11,Chelyabinsk Oblast,2016,2567498,15.01,14.07,0.95,-8763,478992,7.99,24226
11,Chelyabinsk Oblast,2017,2509650,12.83,15.4,-2.57,-13836,796663,3.22,47801
11,Chelyabinsk Oblast,2018,2636872,14.61,11.56,3.05,-8934,215679,11.15,22491
11,Chelyabinsk Oblast,2019,2557425,13.79,15.97,-2.18,-4459,426954,4.13,55464
11,Chelyabinsk Oblast,2020,2462622,11.17,13.08,-1.91,1550,626849,12.12,20441
11,Chelyabinsk Oblast,2021,2497667,7.33,12.44,-5.11,-4293,289881,2.65,29648
11,Chelyabinsk Oblast,2022,2535370,14.35,14.81,-0.47,-5912,698832,3.73,39529
11,Chelyabinsk Oblast,2023,2482358,12.85,13.37,-0.52,-5811,660260,13.65,58213
11,Chelyabinsk Oblast,2024,2413048,14.19,13.28,0.91,-9906,696566,2.98,56070
12,Voronezh Oblast,2010,2396284,12.79,15.32,-2.53,-11996,629331,8.9,47209
12,Voronezh Oblast,2011,2316194,8.89,11.19,-2.3,-13574,157870,14.46,49500
12,Voronezh Oblast,2012,2278957,10.29,15.69,-5.4,-11517,213957,10.75,50574
12,Voronezh Oblast,2013,2357561,10.53,14.59,-4.07,-10886,228901,10.19,50985
12,Voronezh Oblast,2014,2344213,9.86,17.33,-7.47,4599,541223,9.78,49922
12,Voronezh Oblast,2015,2356510,13.35,13.62,-0.27,3561,296000,7.15,37283
12,Voronezh Oblast,2016,2398918,14.08,12.53,1.55,2738,569777,6.07,52637
12,Voronezh Oblast,2017,2282079,14.52,13.65,0.86,1839,623518,12.21,46246
12,Voronezh Oblast,2018,2293718,14.25,17.84,-3.59,1355,288782,8.82,53628
12,Voronezh Oblast,2019,2246491,14.41,15.31,-0.9,-9049,517264,11.11,54932
12,Voronezh Oblast,2020,2325353,9.88,14.08,-4.21,1001,282623,9.44,49322
12,Voronezh Oblast,2021,2219249,12.25,15.71,-3.46,-3915,153399,12.01,21412
12,Voronezh Oblast,2022,2213168,15.05,12.95,2.1,-8887,719822,14.95,34732
12,Voronezh Oblast,2023,2219721,11.71,15.39,-3.68,-7169,418204,11.2,20128
12,Voronezh Oblast,2024,2162148,14.29,11.26,3.03,-2153,192154,9.75,42459
13,Perm Krai,2010,2992910,12.58,17.35,-4.77,-5034,200087,3.23,33369
13,Perm Krai,2011,2872707,14.1,13.82,0.28,-8436,432112,3.61,28824
13,Perm Krai,2012,2808407,12.48,14.35,-1.87,-2276,660673,3.98,36396
13,Perm Krai,2013,2784592,12.76,14.77,-2.01,-8309,167027,2.8,53267
13,Perm Krai,2014,2729181,9.33,17.7,-8.38,-9814,429276,13.41,53677
13,Perm Krai,2015,2806514,11.21,14.36,-3.15,-6262,624180,12.07,26356
13,Perm Krai,2016,2862312,12.66,15.2,-2.53,4132,194822,3.21,31287
13,Perm Krai,2017,2702448,13.98,13.39,0.59,-6005,654861,3.32,39502
13,Perm Krai,2018,2693266,8.77,13.09,-4.32,-8053,734891,2.77,46551
13,Perm Krai,2019,2727438,14.85,10.27,4.58,-383,787843,5.71,46166
13,Perm Krai,2020,2681728,9.12,19.49,-10.37,-2829,377179,3.93,26049
13,Perm Krai,2021,2657466,13.62,14.22,-0.59,2202,619829,3.35,48313
